id,url,plant_id,latin_name,phytophthora root rot,determinate habit,plant habit,anther color,anthocyanin immature fruit,blossom end shape,calyx constriction,calyx margin,corolla color,corolla spots,cotyledon color,fasciculated,filament color,flowers per axil,fruit corkiness,fruit neck constriction,fruit position,fruit shape,immature fruit color,leaf texture,mature fruit color,node anthocyanin,peduncle insertion,peduncle length,seed color,stem color,stem number,stem pubescence,stigma exsertion,pungency,dwarfism,calyx shape,fruit length,fruit pods per node,fruit weight,fruit width,leaf pubescence,locule number,pedicel position at anthesis,stem anthocyanin,days to maturity,accession uniformity,commercial category,fruit persistance,fruit set,male sterility,core subset,image,error,plant height,plant width,wall thickness,degree of pungency,meloidogyne hapla egg,meloidogyne hapla gall,verticillium wilt isolate (vdca59),verticillium wilt isolate (vdcf45),capsaicin content,dihydrocpasaicin content,total capsaicinoid content,flower angle,percent dry weight,beet curly top virus,alfalfa mosaic virus,bacterial leaf spot,cucumber mosiac virus,phytophthora,verticillium wilt,curly top virus,tobacco etch virus,tobacco mosaic virus,root knot nematode,southern blight,mosaic virus complex,anthracnose,flower habit,fruit color_phy,fruit diameter,fruit surface,immature color,spines,maturation,leaf surface,number of seeds per gram,alpha-linoleic acid (18:3alph),arachidic acid (20:0),behenic acid (22:0),gamma-linoleic acid (18:3gam),linoleic acid (18:2),myristic acid (14:0),oleic acid (18:1),palmitic acid (16:0),palmitoleic acid (16:1),seed oil percentage,stearic acid (18:0),seed shape,seed surface,photoperiod,growth habit,adult stem color,blade pigmentation,bract length in millimeters,branching index,flower color,inflorescence density,inflorescence shape,petiole pigmentation,sex type,terminal inflorescence,hundred seed weight,differential host sets
1014926,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014926,Grif 1593,Capsicum annuum L.,"5 - Brown roots, small lesions on stems, lower leaves wilted, stunted plants, partial girdling at stem base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014937,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014937,Grif 1594,Capsicum annuum L.,"2 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014941,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014941,Grif 1595,Capsicum annuum L.,"5 - Brown roots, small lesions on stems, lower leaves wilted, stunted plants, partial girdling at stem base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014952,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014952,Grif 1596,Capsicum annuum L.,"5 - Brown roots, small lesions on stems, lower leaves wilted, stunted plants, partial girdling at stem base",,"7 - (1 = SPRAWLING, 9 = TALL OR UPRIGHT)",3 - BLUE,0 - ABSENT,M - MIXED,0 - ABSENT,"7 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,0 - ABSENT,M - MIXED,4 - CONIC,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,5 - FLAT,5,1 - STRAW,1 - GREEN,"5 - (1 = SINGLE, 9 = MULTIPLE)","1 - (0 = GLABROUS, 9 = EXCESSIVE)",9 - EXSERTED,1 - PRESENT,,,,,,,,3,"5 - (1 = PENDANT, 9 = ERECT)",,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014957,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014957,Grif 1597,Capsicum annuum L.,"2 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",0 - ABSENT,"5 - COMPACT, HEIGHT = WIDTH",3 - BLUE,0 - ABSENT,"7 - (1 = POINTED, 9 = SUNKEN)",0 - ABSENT,"3 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,0 - ABSENT,M - MIXED,4 - CONIC,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,M - MIXED,3,1 - STRAW,1 - GREEN,"3 - (1 = SINGLE, 9 = MULTIPLE)",0 - GLABROUS,5 - SAME LEVEL,1 - PRESENT,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014967,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014967,Grif 1598,Capsicum annuum L.,"4 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015056,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1015056,Grif 1613,Capsicum pubescens Ruiz & Pav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLOWER - Image of flower on the plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015064,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1015064,Grif 1614,Capsicum pubescens Ruiz & Pav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLOWER - Image of flower on the plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015068,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1015068,Grif 1615,Capsicum pubescens Ruiz & Pav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLOWER - Image of flower on the plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027272,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1027272,PI 635775,Capsicum annuum L.,9 - Dead plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028352,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028352,Grif 12298,Capsicum annuum L.,9 - Dead plants,,9 - TALL OR UPRIGHT,3 - BLUE,0 - ABSENT,1 - POINTED,0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,M,0 - NONE,0 - ABSENT,1 - PENDANT,1 - ELONGATE,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,1 - PROTRUDED,5,1 - STRAW,1 - GREEN,9 - MULTIPLE,9 - EXCESSIVE,9 - EXSERTED,1 - PRESENT,,,,,,,,M,M - MIXED,,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028355,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028355,Grif 12299,Capsicum annuum L.,9 - Dead plants,,9 - TALL OR UPRIGHT,4 - PURPLE,0 - ABSENT,1 - POINTED,0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,2 - PURPLE,1,0 - NONE,0 - ABSENT,1 - PENDANT,1 - ELONGATE,2 - GREEN,1 - SMOOTH,2 - RED,1 - PRESENT,1 - PROTRUDED,5,1 - STRAW,1 - GREEN,9 - MULTIPLE,3 - SPARSE,9 - EXSERTED,1 - PRESENT,,,,,,,,M,1 - PENDANT,,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028371,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028371,Grif 12300,Capsicum annuum L.,9 - Dead plants,,"7 - (1 = SPRAWLING, 9 = TALL OR UPRIGHT)",3 - BLUE,0 - ABSENT,1 - POINTED,0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,M - MIXED,1 - WHITE,M,0 - NONE,0 - ABSENT,M - MIXED,1 - ELONGATE,2 - GREEN,1 - SMOOTH,2 - RED,M - MIXED,1 - PROTRUDED,5,1 - STRAW,1 - GREEN,"5 - (1 = SINGLE, 9 = MULTIPLE)",3 - SPARSE,M - MIXED,1 - PRESENT,,,,,,,,M,M - MIXED,,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028374,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028374,Grif 12301,Capsicum annuum L.,9 - Dead plants,,"5 - COMPACT, HEIGHT = WIDTH",3 - BLUE,0 - ABSENT,1 - POINTED,0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,1 - PRESENT,1 - WHITE,M,0 - NONE,0 - ABSENT,M - MIXED,M - MIXED,2 - GREEN,1 - SMOOTH,2 - RED,M - MIXED,1 - PROTRUDED,5,1 - STRAW,1 - GREEN,"5 - (1 = SINGLE, 9 = MULTIPLE)","7 - (0 = GLABROUS, 9 = EXCESSIVE)",9 - EXSERTED,1 - PRESENT,,,,,,,,M,9 - ERECT,,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028487,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028487,Grif 12302,Capsicum annuum L.,"7 - Brown roots, large lesions on stems, girdling, whole plant wilted and stunted",,"7 - (1 = SPRAWLING, 9 = TALL OR UPRIGHT)",3 - BLUE,0 - ABSENT,1 - POINTED,0 - ABSENT,M - MIXED,1 - WHITE OR PALE YELLOW,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,0 - ABSENT,9 - ERECT,M - MIXED,2 - GREEN,1 - SMOOTH,2 - RED,M - MIXED,"3 - (1 = PROTRUDED, 9 = INSERTED)",5,1 - STRAW,1 - GREEN,"5 - (1 = SINGLE, 9 = MULTIPLE)",M - MIXED,M - MIXED,1 - PRESENT,,,,,,,,M,"7 - (1 = PENDANT, 9 = ERECT)",,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031898,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1031898,PI 631151,Capsicum frutescens L.,,0 - ABSENT,9 - TALL OR UPRIGHT,,0 - ABSENT,"2 - (1 = POINTED, 9 = SUNKEN)",1 - PRESENT,1 - SMOOTH,,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,M,0 - NONE,0 - ABSENT,9 - ERECT,1 - ELONGATE,2 - GREEN,"3 - (1 = SMOOTH, 9 = CURLED)",2 - RED,0 - ABSENT,1 - PROTRUDED,,1 - STRAW,1 - GREEN,"5 - (1 = SINGLE, 9 = MULTIPLE)","1 - (0 = GLABROUS, 9 = EXCESSIVE)","6 - (1 = INSERTED, 9 = EXSERTED)",1 - PRESENT,0 - ABSENT,1 - CUP SHAPED,1.6,2.0,0.2,0.5,3 - SPARSE,2,M - MIXED,0 - ABSENT,8 - LATE,"7 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",MIX - MIXED,0 - SEPARATING CALYX (HAS Sp GENE),1 - LOW,0 - ABSENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034496,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034496,PI 635776,Capsicum annuum L.,9 - Dead plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034511,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034511,PI 635777,Capsicum annuum L.,9 - Dead plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034526,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034526,PI 617081,Capsicum annuum L.,9 - Dead plants,,,3 - BLUE,0 - ABSENT,1 - POINTED,0 - ABSENT,"7 - (1 = SMOOTH, 9 = SERRATE)",1 - WHITE OR PALE YELLOW,0 - ABSENT,,1 - PRESENT,1 - WHITE,,0 - NONE,1 - PRESENT,1 - PENDANT,1 - ELONGATE,2 - GREEN,1 - SMOOTH,,1 - PRESENT,,7,1 - STRAW,1 - GREEN,,"1 - (0 = GLABROUS, 9 = EXCESSIVE)","7 - (1 = INSERTED, 9 = EXSERTED)",1 - PRESENT,0 - ABSENT,1 - CUP SHAPED,11.5,,5.3,1,0 - GLABROUS,3,,0 - ABSENT,,9 - HIGH (ALL UNIFORM),CAY - CAYENNE,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),,,"Y - YES, ACCESSION IS PART OF THE CORE",FRUIT-PLANT - Image of fruit on the plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034553,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034553,PI 635778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034554,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034554,PI 586661,Capsicum annuum L.,"6 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",,"5 - COMPACT, HEIGHT = WIDTH","5 - COMPACT, HEIGHT = WIDTH",3 - BLUE,3 - BLUE,0 - ABSENT,0 - ABSENT,5 - BLUNT,0 - ABSENT,0 - ABSENT,"5 - (1 = SMOOTH, 9 = SERRATE)","5 - (1 = SMOOTH, 9 = SERRATE)",2 - SAUCER SHAPED,1 - WHITE OR PALE YELLOW,0 - ABSENT,0 - ABSENT,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,7,0 - ABSENT,0 - ABSENT,9 - ERECT,6 - BELL,6 - BELL,16.1,0 - GLABROUS,0 - ABSENT,9 - SUNKEN,1 - WHITE OR PALE YELLOW,,1 - GREEN,0 - ABSENT,1 - WHITE,1,0 - NONE,9 - ERECT,,6,2 - GREEN,2 - GREEN,,,1 - SMOOTH,1 - SMOOTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034565,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034565,PI 635779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
